,London Bloomsbury,,London Harlington,,London Marylebone Road,,London N. Kensington,,London Teddington Bushy Park,,London Westminster,
Latitude,51.52229,,51.48879,,51.52253,,51.52105,,51.425286,,51.49467,
Longitude,-0.125889,,-0.441614,,-0.154611,,-0.213492,,-0.345606,,-0.131931,
Site Type,Urban Background,,Urban Industrial,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,
Zone,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,
Agglomeration,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,Camden,,Hillingdon,,Westminster,,Kensington,,Richmond,,Westminster,
Date,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
12-04-20,19,V ugm-3 (BAM),22,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),19,V ugm-3 (Ref.eq),19,V ugm-3 (Ref.eq),21,V ugm-3 (BAM)
13-04-20,8,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
14-04-20,7,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
15-04-20,18,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
16-04-20,35,V ugm-3 (BAM),33,V ugm-3 (Ref.eq),34,V ugm-3 (TEOM FDMS),34,V ugm-3 (Ref.eq),34,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
17-04-20,10,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
18-04-20,13,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),14,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
19-04-20,11,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
20-04-20,10,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
21-04-20,10,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
22-04-20,14,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),14,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
23-04-20,20,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),18,V ugm-3 (Ref.eq),17,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
24-04-20,20,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),19,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
25-04-20,12,V ugm-3 (BAM),No data,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
26-04-20,12,V ugm-3 (BAM),,,11,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
27-04-20,16,V ugm-3 (BAM),No data,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),16,V ugm-3 (Ref.eq),15,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
28-04-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
29-04-20,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
30-04-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),2,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
01-05-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
02-05-20,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
03-05-20,9,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
04-05-20,11,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
05-05-20,8,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
06-05-20,13,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
07-05-20,17,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
08-05-20,17,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
09-05-20,29,V ugm-3 (BAM),22,V ugm-3 (Ref.eq),25,V ugm-3 (TEOM FDMS),24,V ugm-3 (Ref.eq),21,V ugm-3 (Ref.eq),28,V ugm-3 (BAM)
10-05-20,18,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
11-05-20,9,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),2,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
12-05-20,8,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
13-05-20,9,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
14-05-20,9,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
15-05-20,11,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
16-05-20,10,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
17-05-20,11,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
18-05-20,9,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
19-05-20,8,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
20-05-20,9,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
21-05-20,11,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
22-05-20,14,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
23-05-20,12,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
24-05-20,12,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
25-05-20,12,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
26-05-20,11,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
27-05-20,12,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
28-05-20,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
29-05-20,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
30-05-20,9,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
31-05-20,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
01-06-20,8,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
02-06-20,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
03-06-20,10,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
04-06-20,5,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
05-06-20,5,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
06-06-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
07-06-20,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
08-06-20,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
09-06-20,8,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
10-06-20,9,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
11-06-20,12,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
12-06-20,16,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
13-06-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
14-06-20,9,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
15-06-20,6,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
16-06-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
17-06-20,7,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
18-06-20,4,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
19-06-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
20-06-20,4,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
21-06-20,5,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
22-06-20,7,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
23-06-20,9,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
24-06-20,13,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
25-06-20,14,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
26-06-20,12,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
27-06-20,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
28-06-20,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
29-06-20,5,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
30-06-20,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
01-07-20,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
02-07-20,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
03-07-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
04-07-20,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
05-07-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
06-07-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
07-07-20,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
08-07-20,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
09-07-20,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
10-07-20,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),2,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
11-07-20,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
12-07-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
13-07-20,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
14-07-20,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
15-07-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
16-07-20,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
17-07-20,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
18-07-20,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
19-07-20,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
20-07-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
21-07-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
22-07-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
23-07-20,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
24-07-20,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
25-07-20,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
26-07-20,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
27-07-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
28-07-20,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
29-07-20,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
30-07-20,9,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
31-07-20,17,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
01-08-20,8,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
02-08-20,7,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
03-08-20,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
04-08-20,No data,V ugm-3 (BAM),No data,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
05-08-20,4,V ugm-3 (BAM),No data,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
06-08-20,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
07-08-20,12,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
08-08-20,15,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
09-08-20,18,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),20,V ugm-3 (BAM)
10-08-20,18,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),21,V ugm-3 (TEOM FDMS),19,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),21,V ugm-3 (BAM)
11-08-20,26,V ugm-3 (BAM),25,V ugm-3 (Ref.eq),30,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),32,V ugm-3 (BAM)
12-08-20,34,V ugm-3 (BAM),31,V ugm-3 (Ref.eq),40,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),39,V ugm-3 (BAM)
13-08-20,19,V ugm-3 (BAM),21,V ugm-3 (Ref.eq),23,V ugm-3 (TEOM FDMS),20,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),24,V ugm-3 (BAM)
14-08-20,11,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
15-08-20,9,V ugm-3 (BAM),13,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
16-08-20,11,V ugm-3 (BAM),16,V ugm-3 (Ref.eq),21,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
17-08-20,5,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
